date,revenue,fees,expenses
2020-12-04,2.4326090587603955,41.54744540598252,39.11483634722212
2020-12-05,17.099272476263536,170.25568388744733,153.1564114111838
2020-12-06,39.508407787133784,397.4408492850507,357.93244149791695
2020-12-07,72.64710993097862,704.584146460984,631.9370365300053
2020-12-08,110.74952404243129,1123.1008143170611,1012.3512902746298
2020-12-09,171.013617451022,1690.7529474605817,1519.7393300095598
2020-12-10,166.97369227859483,1661.0439798923348,1494.07028761374
2020-12-11,170.6829415292441,1646.5845779662495,1475.9016364370054
2020-12-12,145.03946010797054,1278.6392167877384,1133.5997566797678
2020-12-13,192.6913467228165,1742.5805306624525,1549.889183939636
2020-12-14,226.3872838926421,2091.8949683396622,1865.5076844470202
2020-12-15,283.06241998613865,2634.3781619016745,2351.315741915536
2020-12-16,498.5589900632934,4612.542891945638,4113.983901882345
2020-12-17,455.11700652296236,4302.221955916032,3847.1049493930695
2020-12-18,894.6876613111491,8613.40596434056,7718.718303029411
2020-12-19,516.6092531814554,4945.2668770205055,4428.65762383905
2020-12-20,485.38589473849146,4671.139272156919,4185.753377418428
2020-12-21,683.7981514625317,6613.688533000422,5929.89038153789
2020-12-22,700.2345504452823,6806.639626724655,6106.405076279372
2020-12-23,595.7249938663955,5216.036050271092,4620.3110564046965
2020-12-24,612.2115996113802,5849.588637587327,5237.377037975947
2020-12-25,762.795911177483,7639.315473262882,6876.519562085399
2020-12-26,858.6699476475516,8376.753058114919,7518.083110467367
2020-12-27,716.1442863151809,6888.7483889243185,6172.604102609138
2020-12-28,677.1826256054303,6772.603672495399,6095.421046889969
2020-12-29,945.0303614961538,9428.081142403047,8483.050780906893
2020-12-30,622.4169550430655,6176.23447406212,5553.817519019055
2020-12-31,2470.2544868263312,38284.18383154123,35813.9293447149
2021-01-01,1959.678034316538,52260.807928705166,50301.12989438863
2021-01-02,2365.84245532869,66775.83399049053,64409.99153516184
2021-01-03,2798.60558529334,74826.12254855483,72027.5169632615
2021-01-04,2564.6394588422754,91299.2042095204,88734.56475067812
2021-01-05,2020.1244197407832,22933.31752144608,20913.193101705296
2021-01-06,1448.4624779789415,12849.814726844956,11401.352248866015
2021-01-07,3843.6177929303894,37598.808248822104,33755.190455891716
2021-01-08,3011.7713151222124,29185.699033351877,26173.927718229665
2021-01-09,3345.7558610544493,31974.94720896876,28629.19134791431
2021-01-10,2912.435284698527,27451.112994111834,24538.677709413307
2021-01-11,2620.3502060877177,25538.30491204325,22917.954705955533
2021-01-12,2430.984661253675,25160.848226123173,22729.863564869498
2021-01-13,2092.434012905295,20276.602274805107,18184.168261899813
2021-01-14,2370.3201151849685,23347.300692603134,20976.980577418166
2021-01-15,4157.577062749529,40365.528990170686,36207.951927421156
2021-01-16,3523.1098948005774,35147.57958513248,31624.4696903319
2021-01-17,3478.7835605045675,34411.45543409783,30932.67187359326
2021-01-18,4544.987809735245,45883.7730573142,41338.785247578955
2021-01-19,3936.7972521435913,40200.1510199481,36263.35376780451
2021-01-20,5680.5724438293355,56133.75559752768,50453.183153698345
2021-01-21,4893.450226261141,47459.13951877036,42565.68929250922
2021-01-22,5150.14819327958,54000.2157822292,48850.06758894962
2021-01-23,4958.8602922132495,49186.86920359292,44228.00891137967
2021-01-24,5070.006339034237,49605.764581956726,44535.758242922486
2021-01-25,6507.334520052787,62135.86123696815,55628.52671691537
2021-01-26,6005.610002202876,59258.90673283229,53253.296730629416
2021-01-27,4967.082035895677,45292.414968947356,40325.33293305168
2021-01-28,5192.8120548847255,52797.88328701993,47605.071232135204
2021-01-29,5495.252073031862,58998.72078242564,53503.468709393775
2021-01-30,6574.779723663611,66263.63204082895,59688.852317165336
2021-01-31,6973.028421638436,70588.02821668984,63614.9997950514
2021-02-01,7517.565312800636,74475.14254354112,66957.57723074048
2021-02-02,6331.583063498738,60539.05113942301,54207.46807592428
2021-02-03,10741.212796305916,107242.26287790555,96501.05008159963
2021-02-04,12917.594653831133,130838.64233335169,117921.04767952056
2021-02-05,11319.31002228986,1743213.1223297596,1731893.8123074698
2021-02-06,11434.468788157128,109287.42711000664,97852.95832184951
2021-02-07,9024.567740291568,89819.27807604584,80794.71033575427
2021-02-08,6728.994336514614,74038.62644670613,67309.63211019151
2021-02-09,13318.689916670264,132316.98043141112,118998.29051474086
2021-02-10,18575.49658989396,180695.61553872385,162120.11894882988
2021-02-11,18495.81877945835,186343.66656548777,167847.84778602942
2021-02-12,17407.775305631392,178262.8980877883,160855.1227821569
2021-02-13,13260.509663391265,134078.85083106675,120818.34116767549
2021-02-14,11292.337651269474,127278.13750057667,115985.7998493072
2021-02-15,12463.87545028738,125386.34910669223,112922.47365640485
2021-02-16,15332.762498377213,157857.90673887817,142525.14424050096
2021-02-17,17004.377400135156,174525.72729711447,157521.3498969793
2021-02-18,14983.016995131935,158772.88065736255,143789.8636622306
2021-02-19,18523.6687132888,185142.03300017587,166618.36428688708
2021-02-20,16022.320541711088,156656.2385487134,140633.9180070023
2021-02-21,15769.051376802356,155345.5126961317,139576.46131932933
2021-02-22,14481.709640108847,143302.7874495594,128821.07780945055
2021-02-23,13358.41283177872,140543.34506184648,127184.93223006776
2021-02-24,10333.814052214913,110950.58487984967,100616.77082763475
2021-02-25,12670.004956705945,133604.70963924492,120934.70468253897
2021-02-26,15449.144475114235,154902.00678359327,139452.86230847903
2021-02-27,9810.420354656584,99891.83364340958,90081.413288753
2021-02-28,9802.421866516703,98769.2180527434,88966.7961862267
2021-03-01,10116.290427065747,109442.08457534564,99325.79414827989
2021-03-02,11273.220816751189,114626.09214137582,103352.87132462463
2021-03-03,10753.58852241938,109630.28603025596,98876.69750783658
2021-03-04,13858.58387959143,135841.25711107237,121982.67323148093
2021-03-05,14695.639466934304,138208.6152237576,123512.9757568233
2021-03-06,11893.424872545962,111701.17120739781,99807.74633485185
2021-03-07,11227.033816163204,108365.69971007174,97138.66589390853
2021-03-08,42525.3715818638,309004.8003342922,266479.4287524284
2021-03-09,32923.72400504019,258824.67458603112,225900.95058099093
2021-03-10,26389.155547560666,234857.19356905864,208468.03802149798
2021-03-11,33021.23779364091,299252.24337289965,266231.0055792587
2021-03-12,34977.835076645184,304462.64926183736,269484.81418519217
2021-03-13,19990.573770160103,179307.14828289516,159316.57451273507
2021-03-14,16198.02577678181,158364.73130630783,142166.70552952602
2021-03-15,19557.714956288615,190384.54578555422,170826.83082926561
2021-03-16,19432.832918497184,185855.8433630501,166423.01044455293
2021-03-17,19283.541455211383,190399.39364484375,171115.85218963237
2021-03-18,23604.484695841278,231920.2187416256,208315.73404578434
2021-03-19,29552.296730121197,281225.0672600185,251672.7705298973
2021-03-20,18955.178938797013,184102.2728400909,165147.0939012939
2021-03-21,19264.545259226586,180676.84533365702,161412.30007443044
2021-03-22,18443.233771392093,165475.7755826871,147032.54181129503
2021-03-23,18687.091694964667,166292.99279933464,147605.90110436996
2021-03-24,15806.227413045104,149465.0463726963,133658.8189596512
2021-03-25,18139.0595570269,174108.7050726038,155969.6455155769
2021-03-26,15292.455147012603,150631.08082435644,135338.62567734384
2021-03-27,15842.197555780693,150138.62363059336,134296.42607481265
2021-03-28,18057.397032381705,180658.29219536917,162600.89516298746
2021-03-29,17941.117188454715,169175.03567130043,151233.9184828457
2021-03-30,16734.090797711957,159877.82329200403,143143.73249429208
